Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
33,B00F8DA2T8,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71gnr9z2gYL._AC_UL320_.jpg,"EGLO Pendelleuchte Tombolo, 3 flammige Hängelampe Modern, Hängeleuchte aus Stahl und Textil in Nickel-Matt, Creme, Taupe, Braun, Esstischlampe, Wohnzimmerlampe hängend mit E27 Fassung","Beleuchtung: 51870
Hängeleuchten & Pendelleuchten: 2490",EUR,79.68,4.3,25.0,,,"Die dekorative Pendelleuchte aus Stahl in Nickel-Matt und drei Lampenschirmen aus Textil mit Klettverschluss in Creme, Taupe und Braun fügt sich nahtlos in den modernen Trend ein

Die Hängelampe bietet mit ihrem besonderen Design ein Highlight in jedem Raum – egal, ob in der Küche, im Wohnzimmer oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten; Die LED Leuchtmittel sind unter EGLO 110032 separat erhältlich

Geeignet für jedes Leuchtmittel mit E27 Sockel, maximal 60 Watt pro Fassung; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max 110 cm, Durchmesser: 54,4 cm",EGLO,myLeuchte,Besuche den EGLO,,,,,2013-09-12,0.0,1.0,False
34,B08VW6L2G8,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/613zP7YwVsL._AC_UL320_.jpg,Inspire - Hängelampe SITIA - 1 Lichtpunkt E27 - 46W - Ø 28 cm - Pendelleuchte aus Baumwollstoff - Weiß,"Beleuchtung: 1300
Hängeleuchten & Pendelleuchten: 15
Deckenleuchten: 102",EUR,24.99,4.4,599.0,,,"TREND PENDELLEUCHTE : Mit ihrer schlichten und eleganten Ästhetik kann diese Design-Pendelleuchte mit weißem Baumwoll-Lampenschirm Ihren Raum verschönern. Sie passt sich an jedes dekorative Ambiente an, vom modernsten bis zum klassischsten.

SCHONEND BELEUCHTET: Mit einer Kapazität von 1 x 46-Watt-Glühbirne ist diese Pendelleuchte ideal für die Beleuchtung eines kleinen Raums. Die Innenseite des Schirms ist weiß für eine gleichmäßigere und weniger blendende Lichtstreuung.

INSTALLATION: Die Hängelampe wird an der Decke befestigt und die Länge des Kabels ist einstellbar, so dass sie perfekt an die Konfiguration Ihres Raumes angepasst werden kann. Mit der Schutzart IP20 ist sie für alle Lebensräume, außer dem Badezimmer, geeignet.

GARANTIE: Diese Leuchte ist aus hochwertigen Materialien gefertigt und wird von uns für 2 Jahre garantiert.

INSPIRE, FÜR EINE ATMOSPHÄRE, DIE ZU IHNEN PASST : Die Marke Inspire ist eine inspirierende und zeitgemäße Dekorations- und Beleuchtungsmarke, die ästhetisch ansprechende, leicht zu installierende und zu wartende Qualitätsprodukte anbietet.",Inspire,Adeo Positive Home,Besuche den INSPIRE,,29 x 28 x 19 cm,320 g,,2021-02-04,0.0,0.0,False
35,B095KF9K9B,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71CBXx9dMhS._AC_UL320_.jpg,E27 Mais Kompakte Bauweise Edison Schrauben Glühbirne 7W Äquivalent zu 60W-100W Halogen 950LM Superhelle Warmweiß 3000K AC100V-265V für Esstischlampe lnnenbeleuchtung Nicht Dimmbar (2er-Pack)[MEHRWEG],"Beleuchtung: 23121
LED Lampen: 3802",EUR,13.99,4.4,23.0,,,"【Kompakte LED-Lampe】 Die Materialien sind hauptsächlich Kunststoffe und Keramik, was eine gute Wärmeableitung darstellt. Hohe Helligkeit und geringer Stromverbrauch mit einer Lebensdauer von mehr als 25.000 Stunden, geringe Wartungskosten.

【Ultrahohe Helligkeit】 Die Helligkeit dieses 7W E27 LED Glühbirne ist sehr hoch und entspricht 60W-70W Halogen. AC 100-265V Warmweiße Lampen verfügen über eine hohe Lichtleistung von 950 Lumen. Sparen Sie über 95% Energiekosten sparen.

【Einfache Installation】 Diese LED Glühbirne eignet sich für alle Standard E27 Sockellampen, schnell zu installieren, Schrauben Sie einfach die Glühbirnen direkt in die Leuchten-Fassung.Sofort aufleuchten, kein Summen oder Flackern, Nicht dimmbar.

【Hoher Farbwiedergabeindex】 (Color Rendering Index (CRI > 80)) Lebhafteres und natürliches Licht wird geboten und 360°Abstrahlwinkel mit mehr Flutlicht. Kein Blei oder Quecksilber, keine UV oder IR Strahlung. Schützen Sie die Augen.

【Weithin Anwendungen】 Perfekt für den Einsatz in Bars, Cafés, Schlafzimmer, Küchen, Clubs, Pendelleuchten, Tischlampe, Esstischlampe, Deckenleuchten schaffen eine gemütliche und helle Umgebung. Bitte verwenden Sie sie nicht mit einem Dimmschalter, es kann zu Glühbirnenflackern oder Rauschen kommen.",ASAIHKUN,ASAIHKUN-LED,Besuche den ASAIHKUN,,2.9 x 2.9 x 7.59 cm,108.86 gramm,,2020-11-30,0.0,0.0,False
36,B07CXWNYXJ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/513DqFoSrUL._AC_UL320_.jpg,"B.K.Licht - LED Pendelleuchte glas - Deckenlampe inkl. 4x 4,5W LED Leuchten - Deckenleuchte LED in Matt-Nickel","Beleuchtung: 13314
Hängeleuchten & Pendelleuchten: 431",EUR,79.99,4.4,607.0,,,"VARIABLE LICHTEINSTELLUNG - Unsere LED Lampe lässt sich stufenlos in der Höhe verstellen. Die Höhe ist variabel einstellbar zwischen 920mm bis 1.700mm. Die LED Deckenlampe ist 80mm breit

IN JEDEM RAUM EIN HINGUCKER - Die Hängelampe ist dank der stufenlosen Verstellung in jedem Zimmer montierbar. Egal ob über dem Esstisch im Wohnzimmer, als Küchenlampe oder Leuchte im Schlafzimmer

SCHÖNE ATMOSPHÄRE - Unsere Hängeleuchte leuchtet ihre Küche, ihr Schlafzimmer und ihr Wohnzimmer perfekt aus. Jedes Zimmer wird durch die 3.000 Kelvin in eine warmweiße Lichtfarbe versetzt

ENERGIESPAREND - Die LED Deckenlampe besitzt moderne LED-Technologie und ist sehr energiesparend. Unsere LED Leuchte wird inkl. 4 x 4,5 Watt Glühbirnen geliefert, sodass sie direkt aufgebaut werden kann

WEITERE LAMPEN - Seit 2015 bieten wir unseren Kunden ein riesiges Segment an Leuchten. Egal ob modern, vintage oder retro. Bei uns findet jeder seine Wohnzimmerlampe, Schlafzimmerlampe oder Esszimmerlampe

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,85.4 x 8 x 120 cm,1.38 kg,,2018-05-07,0.0,1.0,False
37,B07VD1HCBM,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81fBuHqSAcL._AC_UL320_.jpg,"EGLO Pendelleuchte Bridekirk, 1 flammige Hängelampe Vintage, Natur, Boho, Hygge, Hängeleuchte Stahl in Schwarz und Textil in Naturfarben, Esstischlampe, Wohnzimmerlampe hängend mit E27 Fassung, Ø 40cm","Beleuchtung: 11500
Hängeleuchten & Pendelleuchten: 351",EUR,39.99,4.6,134.0,,,"Die Pendelleuchte aus Stahl in Schwarz und einem dekorativen Lampenschirm aus Leinen in Naturfarben fügt sich nahtlos in die Trends wie Vintage, Natur, Boho und Hygge ein

Wenn die Pendellampe eingeschaltet wird, entsteht durch den Lampenschirm ein faszinierendes Zusammenspiel aus Licht und Schatten

Die Hängelampe bietet mit ihrem besonderen Design ein Highlight in jedem Raum – egal, ob in der Küche, im Wohnzimmer oder im Esszimmer über dem Esstisch

Kein Leuchtmittel im Lieferumfang enthalten; Das Filament LED Leuchtmittel ist unter EGLO 110009 separat erhältlich; Geeignet für jedes Leuchtmittel mit E27 Sockel, maximal 40 Watt pro Fassung; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max 110 cm, Durchmesser: 40 cm",EGLO LIVING,,Besuche den EGLO LIVING,,40 x 40 x 110 cm,858 g,,2019-07-21,,1.0,False
38,B07L1FXM7Q,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71slZd4tCoL._AC_UL320_.jpg,"EGLO Pendellampe Oldbury, 3 flammige Vintage Pendelleuchte im Industrial Design, Hängelampe aus Stahl und Holz, Farbe: Schwarz, braun rustikal, Fassung: E27, L: 118 cm","Beleuchtung: 8353
Hängeleuchten & Pendelleuchten: 210",EUR,128.28,4.5,454.0,,,"Der moderne Materialmix aus dem massivem Echtholz Holzbalken sowie schwarzem Stahl verleiht dieser Lampe einen tollen Retro Look

Hängeleuchte im stylischen Industrie Design für den Innenbereich wie Wohnzimmer, Küche oder im Esszimmer über dem Esstisch

Die Kette der Hängelampe lässt sich kürzen; (Maximale Höhe: 110 cm)

Kein Leuchtmittel im Lieferumfang enthalten; Die Leuchtmittel sind unter EGLO 110053 separat erhältlich; Geeignet für jedes Leuchtmittel mit E27 Sockel, maximale Wattage pro Fassung 60 W; Dimmbar je nach verwendetem Leuchtmittel

Abmessungen: Höhe: max 110 cm, Länge: 118 cm",EGLO LIVING,,Besuche den EGLO LIVING,,118 x 110 x 110 cm,5.19 kg,,2018-11-30,,1.0,False
39,B09PZZ51MG,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Kp43pACtL._AC_UL320_.jpg,"Modern Pendelleuchte Kit mit Stecker - Vintage Lampenkabel mit 4,5 Meter gedrehten Hanfseil E27 Lampenfassung Plug in Hängelampe mit Textilkabel Käfige E27 Lampenfassung für Küche Wohnzimmer","Beleuchtung: 4081
Hängeleuchten & Pendelleuchten: 66",EUR,24.02,4.6,324.0,,,"【Vintage Hanfseil Pendelleuchten】Das Pendelleuchte Kit eignet sich Stoff außen und Kupfer innen, hochwertiges reines Kupferdraht, das Kabel ist sehr gut vom Stoff ummantelt. Ideal für den Einsatz in Küchen, Speisesälen, Cafés, Bars und Restaurants und eignet sich perfekt für Ihr DIY-Lichtprojekt.

【Technische Daten vonHemp Rope Hanging Light】Metallkäfigschirmgröße: 18 x 16 cm; Einstellbare Länge des Hanfseils: 5M; Eingangsspannung: 220V-240V; Material: 100% kunsthandwerkliche Hanfseil. Die Hängeleuchten mit Steckerkabel passen zu Standard E27 Glühbirnen, CFL Glühbirnen und LED Glühbirnen (Glühbirne ist NICHT im Lieferumfang enthalten).

【Einfach zu installieren】Alle Montagehardwares sind im Paket enthalten. Kein zusätzlicher Montageprozess, kinderleicht und praktisch. Tolles Styling für Küche und Wohnkultur. Dimmbar oder Nicht von der Wohnzimmerlampe: Dies hängt davon ab, ob der verwendete Lampentyp dimmbar ist oder nicht.

【Praktischer Pendelleuchte Kit】 Diese Textilkabel Pendelleuchte Kit ist eine ideale Leuchte, um Ihrer Küche oder Ihrem Zuhause Kreativität und Gemütlichkeit zu verleihen. Sie können dies alleine oder sie in Gruppen hinzufügen. Perfekt für die Bar, Küche, Dachboden, Esszimmer, Arbeitszimmer, Schlafzimmer und mehr!

【100% Kundenzufriedenheit】 Wir sind ein Verkäufer, der sich auf die Herstellung von Lampen spezialisiert hat und haben strenge Anforderungen von der Materialauswahl bis zur Herstellung von Produkten. Wenn die Leuchten, die Sie erhalten haben, einen Defekt aufweist, kontaktieren Sie uns bitte umgehend per E-Mail für Ersatz oder Rückerstattung. Alle mail werden innerhalb von 24 Stunden bearbeitet und es wird ein 100% zufriedenstellendes Ergebnis erzielt.",FRIDEKO HOME,Motent UK,Besuche den FRIDEKO HOME,,18.7 x 18.7 x 18 cm,650 gramm,,2021-11-30,0.0,0.0,False
40,B07G439HM9,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51PxdXsYzNL._AC_UL320_.jpg,2x Modern Vintage Hängelampe Hängeleuchte Industrial Deko Lampen Wohnzimmer Küche Deckenlampe Hängend Schwarz Gold Lampenschirm Ø30cm Metall Dome Industrielampe Pendelleuchte Küchenlampe Esstisch,"Beleuchtung: 10809
Hängeleuchten & Pendelleuchten: 324",EUR,54.94,4.5,104.0,15.0,0.0,"【Industrial Deko Hängeleuchten & Pendelleuchten】Moderne Industrielle Vintage Kreative Hänge- & Pendelleuchten. Minimalistische Originalität in Vintage Stil. Passt super zu Ihrer Einrichtung im Industriedesign.

【Lichtquelle】Sockel: E27 | Nennspannung: 240V | Maximale kompatible Leistung: 60 Watt | Fügen Sie eine glänzende Vintage Style E27 Glühbirne für ein warmes und einladendes Glanz hinzu (Birne NICHT im Lieferumfang enthalten). LED / CFL / Glühlampen / Halogen /dimmbare Glühbirnen sind für diese Lampe geeignet.

【Technische Daten】Hängeuntergestell Breite: 10cm(3,94"") | Beleuchtungskörper Height: 7,87""(20cm) | Beleuchtungskörper Breite: 11,81""(30cm) | Kabellänge: 39,37""(100cm) | Material: Hochwertiger Lack Eisen. | Dimmbar oder Nicht: Dies hängt davon ab, ob der verwendete Lampentyp dimmbar ist oder nicht.

【Vintagen Hängeleuchte Deckenlampe Hängend】 Diese einzigartige und kreative Pendelleuchte besteht aus lackiertem Eisen. Die Form des Lampenschirms ist wie ein Dome, sehr künstlerisch ist. Das Finish auf der Außenseite des Lampenschirms ist schwarz, und die Innenseite ist handgemalter Goldlack, der besonders glatt und elegant wirkt. Die Goldene Beschichtung ist gleichmäßig und löst sich nicht von der Farbe. Tolle Lampe für Küche und Wohnzimmer Deco.

【Breite Anwendungen】Diese Pendelleuchte ist eine ideale Leuchte, um Ihrer Küche oder Ihrem Zuhause Kreativität und Gemütlichkeit zu verleihen. Sie können dies alleine oder sie in Gruppen hinzufügen. Perfekt für die Küche, Island, Dachboden, Esszimmer, Arbeitszimmer, Schlafzimmer, Restaurant, Bar und mehr!",YIKEGE LICHT,YIKEGE LICHT,Besuche den YIKEGE LICHT,,11.81 x 11.81 x 7.09 cm,1.99 kg,,2018-10-15,0.0,1.0,False
41,B0845TVK99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61+VGgz9YRL._AC_UL320_.jpg,Globo Vintage Pendel Decken Lampe Holz Balken Wohn Ess Zimmer Gitter Hänge Lampe schwarz 15416-4,"Beleuchtung: 26514
Hängeleuchten & Pendelleuchten: 1141",EUR,94.5,4.5,99.0,,,"Material: Holz

Farbe: natur

Lampenschirm: Metall schwarz, Gitter Design

LxBxH: 85 x 18 x 120 cm",Globo,ETC-Shop GmbH & Co. KG,,,85 x 18 x 120 cm,2.72 kg,,2020-01-24,0.0,0.0,False
1,B07TC8H9CM,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61FOdrXg3FL._AC_UL320_.jpg,"Amazon Basics - LED-Deckenleuchte, rund 10 W, 250 mm Durchmesser, 4000 K, Kaltweiß, 1 Stück","Beleuchtung: 7212
Deckenleuchten: 510",EUR,12.99,4.2,138.0,,,"Effiziente LED-Lichtquelle, spart bis zu 80 % Energie im Vergleich zu Glühbirnen mit ähnlicher Lichtleistung

Lebensdauer von bis zu 15.000 Stunden - eine langfristige Beleuchtungsinvestition, die über die gesamte Lebensdauer hinweg eine gleich bleibende Lichtqualität bietet

Klares Design und umfassende Helligkeitsauswahl, die für eine Vielzahl von Einrichtungsstilen und Innenräumen geeignet sind, z. B.: Schlafzimmer, Speisesaal, Lobby und Flur

Augenschonendes Design mit gleichmäßigem Diffusor für eine gleichmäßige Lichtverteilung und Augenschutz vor Blendlicht

Hervorragende Farbwiedergabeleistung bietet lebendige und natürliche Farben für Ihr Zuhause",Amazon Basics,,Besuche den Amazon Basics,,25 x 25 x 6.8 cm,220 g,,2020-07-14,,0.0,True
12,B08SHXXSPK,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/413I8hY59fL._AC_UL320_.jpg,"artbrite LED Deckenleucht,18W Deckenlampe Neutralweiß,IP44 Wasserdicht,2200LM 4000K Leuchte,Ultra Dünn Φ29.5*H2.5cm Deckenlampe für Bad/Flur/Keller/Balkon/Wohnzimmer/Feuchtraum/Büro/Küche","Beleuchtung: 6115
Amazon Launchpad Wohnkultur & Kunst: 28
Deckenleuchten: 448
Amazon Launchpad Nigel. Nagel. Neu.: 720",EUR,36.09,4.4,1156.0,,,"【Einfach zu installieren】 Unsere LED Deckenleuchte Badezimmer hat ein spezielles, aber einfaches Design. Sie benötigen nur 4 Schritte, um sie zu installieren. Sie sind mit doppelt isolierten Drähten und automatischen Klemmenblöcken ausgestattet, um Sie sicher zu schützen und Zeit zu sparen.

【Ultradünnes Design ohne Moskitos】 Die moderne artbrite Deckenleuchte Keller hat eine Dicke von 2,5 cm und passt perfekt zu Ihrer Deckenwand. Sie haben das Gefühl, dass es sich tatsächlich um eine Deckeneinbauleuchte handelt. Sparen Sie extrem Platz. Das vollständig versiegelte Design lässt keine Moskitos zu Gehen Sie hinein, bieten Sie Ihnen immer ein sauberes, einfaches und elegantes Leben.

【Energieeinsparung】 Mit hochwertigen LEDs kann unsere 18W Badezimmer leuchte eine 144W Glühlampe perfekt ersetzen und Ihnen helfen, effektiv mehr als 80 % Stromkosten zu sparen.

【Hohe Helligkeit und lange Lebensdauer】 Die artbrite Badelampe decke besteht aus 92 hochwertigen LEDs und einem hocheffizienten Treiberausgang, der Ihnen eine Superhelligkeit von 2200 lm bietet. Eine Lichtspanne von 30000 Stunden kann Ihre Probleme beim häufigen Ersetzen der Lampen erheblich reduzieren.

【Augenschutz】 artbrite Deckenleuchte Wohnzimmer Neutralweiß besteht immer darauf, sich mit erstklassiger Kerntechnologie zu entwickeln, um LED-Deckenleuchte flimmerfrei zu machen, Ihre Augen sanft zu pflegen und gesund zu sein, damit Sie es genießen können",artbrite,REPOWER,,,29.5 x 29.5 x 2.5 cm,500 g,,2021-05-27,0.0,0.0,True
14,B09CTRHQCQ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61j+Sed4VbL._AC_UL320_.jpg,"NICEME Led Deckenlampe Holz 24W,Weißes Licht 6500K Led Deckenleuchte,Led Lampen Deckenlampen Für Wohnzimmer Schlafzimmer Badezimmer Balkon Flur Keller Ø30Cm [Energieklasse F]","Beleuchtung: 620
Deckenleuchten: 48",EUR,34.99,4.3,400.0,,,"💡【Dekorativer Rahmen aus Eiche】LED Deckenleuchte ist aus hochwertigem Eisen gefertigt, und das Galvanisierungsverfahren macht die Deckenleuchte weniger anfällig für Oxidation und Verfärbung. Mit der zusätzlichen halbgeschlossenen Eichenholz-Zierleiste ist er einzigartig und stilvoll. Die Zierleiste aus Eichenholz ist mit Korrosionsschutzfarbe beschichtet, hat aber keinen störenden Geruch.

💡【LED energiesparende】Diese Holz Deckenleuchte mit LED-Linsenlichtquelle und Acryllampenschirm hat weiches Licht, keine Blendung, keine Hochfrequenzstörungen, keinen Blitz und kein Dimmen. Die 24-W-LED-Deckenleuchte entspricht einer 150-W-Halogenlampe, mit der die Stromkosten um mehr als 80% gesenkt werden können

💡【Ultra Dünn Design, BREITE Verwendung】Mit dem 40mm ultradünnen Design überzeugt die LED Deckenlampe durch ihre hohe Qualität und schlichte Eleganz.Mit Schutzklasse können Sie können die Deckenleuchte in einem Raum von etwa 8 bis 20m²befestigen. Ideal Lampe für Wohnzimmer, Schlafzimmer, Kinderzimmer, Esszimmer, Arbeitszimmer, Büro, Werkstatt, Küche, Flur / Diele, Balkon, Korridor, Keller, Haustür, Treppenhaus, Lager, Hotel usw.

💡【Einfach zu installieren】 Aufgrund des speziellen und einfachen Designs sind unsere bad deckenleuchte sehr einfach in Ihrem Haus zu installieren. Verwenden Sie Schrauben, um den hinteren Keller der Lampe zu befestigen, und verbinden Sie die Drähte durch automatische Klemmenblöcke, dann befestigen Sie die Lampe einfach am Keller und die Installation ist abgeschlossen. Jeder kann diese Deckenleuchte einfach bedienen.

💡【Qualitäts-Kundendienst】 Wenn Sie Fragen oder Anregungen haben, wenden Sie sich bitte an den Shop. Der Kundenservice ist 24 Stunden am Tag online, der beste After-Sales-Service des Käufers, um Käufern bei der Lösung aller Kaufprobleme zu helfen.",NICEME,WDX-DE,,,31 x 31 x 5 cm,1.03 kg,,2021-09-19,0.0,0.0,True
24,B09MQSV4R4,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61sbRKnBHIL._AC_UL320_.jpg,"Schindora Holz LED Deckenleuchte, 21 W, warmweiß, 3000 K, 1600 lm, runde Holz-Deckenleuchten Ø30 cm, für Lounge, Wohnzimmer, Küche, Esszimmer, Flur, Zuhause, Büro, Kinderzimmer","Beleuchtung: 2319
Deckenleuchten: 185",EUR,39.99,4.3,149.0,,,"【Natürlicher Holzdeckenlampenschirm】 LED-Deckenleuchte aus Holz mit schönen Eichenformen, mit hoher Lichtdurchlässigkeit Lampenabdeckung, gesunde und geschmacksneutrale Holzmaserung, antiseptisch und insektenfest

Größe und Material: Leistung: 20 W, Farbtemperatur: Warmweiß 3000 K, nicht verstellbar, Größe: Ø 300 x 50 mm. Material: Acryl, Eisen und Eiche, mit etwas Glanz

【Hochwertige und energiesparende LED】 LED-Lichtquelle der neuen Generation und Acryl-Display, weiches Licht, keine Blendung, keine Hochfrequenz-Störung, kein Stroboskoplicht. Ersetzt 150 W Halogenlampen durch LED-Deckenlampen, reduziert die Stromkosten um mehr als 80 %

Einfache Installation und breite Anwendung: Weit verbreitet im Wohnzimmer, Esszimmer, Arbeitszimmer, Schlafzimmer, WC, Bad, Küche, Keller, Babyzimmer, Schrank. Es kann einfach installiert werden, indem Sie Draht verbinden und die Lampe an die Decke schrauben ohne zusätzliches Werkzeug und Manpower schrauben. Es ist praktisch überflüssig, die Glühbirne auszutauschen, und ihr langlebiges Licht bringt Ihnen kontinuierliches Licht für eine lange Zeit

【Qualitätsgarantie】 2 Jahre Garantie, wenn Sie Qualitätsprobleme finden oder mit Ihrem Kauf nicht zufrieden sind, kontaktieren Sie uns sofort",Schindora,Joeyhome,Besuche den Schindora,,30 x 30 x 5 cm,1 kg,,2021-11-29,0.0,1.0,False
27,B087FR7LFN,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61e3NS6LEHS._AC_UL320_.jpg,ZMH LED Deckenleuchte Dimmbar Deckenlampe Wohnzimmer Modern Weiß mit Fernbedienung 65 Watt aus Metall in Schmetterlingforming Design Wohnzimmerlampe für Schlafzimmer Esszimmer Restaurant Arbeitzimmer,"Beleuchtung: 709
Deckenleuchten: 54",EUR,89.99,4.3,445.0,,,"Design: symmetrisch Schmetterlingsformig bilden hier das Grundelement der modernen LED Deckenleuchte. Sie bietet für Wohnzimmer oder Schlafzimmer eine zuverlässige Raumbeleuchtung, die zudem dimmbar und in der Lichtfarbe änderbar ist.

Maße: 66x41x9.5cm; Leistung: 65W Energiesparend Lampe hat ein angenehmes und helles Licht an die Umgebung abgegeben. LED Leuchtmittel fest verbaut (nicht wechselbar).

Dimmbar und Farbtemperatur verstellbar: über eine Fernbedienung stufenlos dimmbar und Lichtfarbe einstellbar (3000K bis 6000K), Nach dem Ausschalten wird die Lampe die zuletzt benutzte Helligkeitsstufe automatische bleiben und verfügt über Fünktion von Nachtlicht.

Anwendung: die Deckenleuchte ist perfekt Ideal für den modernen Raum Esszimmer, Küchen, Büro, Wohzimmer, Schlafzimmer, Arbeitszimmer, Essenzimmer, Hotel, Restaurant und so weiter anpassen.

Unsere Verkäufergarantie: 30 Tage Geld-zurück-Garantie, 12 Monate Umtauschrecht von dem Tag, an dem Sie die Ware erhalten. Falls Sie fragen haben stehen wir ihnen gerne zur verfügung.

Hinweis: Aufgrund des Upgrades unserer Fernbedienung wird es in diesem Zeitraum sowohl alte als auch neue Versionen der Fernbedienung geben. Wenn Sie Fragen haben, wenden Sie sich bitte an den Kundendienst, um sie für Sie zu lösen.",ZMH,dreistein,Besuche den ZMH,,47 x 46 x 11 cm,2.42 kg,,2020-04-21,0.0,1.0,False
